id	name	gender	age	mother	father	distinguishing_feature	deceased	notes	first_seen
F037	Vermont	FEMALE	SUBADULT			Right: shape of Vermont on right shoulder, small spot mid-neck, unfilled spot lower neck.	0		
F003	Hermione	FEMALE	SUBADULT			Dark coloration on back.	0		
F011	Ginny	FEMALE	SUBADULT			Right: many specks along neck. Left: lightning bolt on side.	0		
F012	Olympe	FEMALE	ADULT			Right: Four small spots on lower shoulder.	0		
F038	Flame	FEMALE	SUBADULT			Right: flame on neck. Left: large patches on shoulder.	0		
F039	Ruthie	FEMALE	ADULT			Right: small spot mid-neck. Left: small spot on shoulder.	0		
F040	Hestia	FEMALE	SUBADULT			Left: small dot on neck, triangle marks on shoulder. Right: four spots in diamond-shape on shoulder.	0		
J004	Space	FEMALE	ADULT			Large white space between spots on lower left neck. Small dot near upper left neck.	0	Moved to adult female in April 2016.	
J008	Pucker	FEMALE	ADULT			"Left: Pacman facing left on upper back; small spots on neck. Right: spades on neck and rump."	0	"Moved to adult female in April 2016. Same as J003 Yaya identified in 2014; combined here. Identified as juvenile in 2014."	
J007	Crisp	FEMALE	ADULT			Crisp white lines between spots. Left: many Pac-mans on rump. Right: kidney on rump.	0	Identified as adult female in August 2016	
J005	Mohawk	FEMALE	ADULT			Long mane down back.	0	Identified as adult female in August 2016.	
J009	Hedge	FEMALE	ADULT			Left: 5-petal flower on side, line of circular spots on neck. Butterfly on the left neck. 	0	Identified as juvenile in 2014.	
J001	Kalamu	UNKNOWN	JUVENILE			Right: diagonal sliver on hump.	0	Identified as juvenile in 2014.	
J006	Atoll	FEMALE	JUVENILE			Some spots have white in their centers that fade to brown.	0	Identified as juvenile in 2014.	
J020	Hourglass	FEMALE	JUVENILE			Right: hourglass-shaped spots on lower belly.	0	Identified as juvenile in 2014.	
J021	Phantom	MALE	JUVENILE			Some spots are hollow.	0	Identified as juvenile in September 2014.	
J022	Twister	UNKNOWN	JUVENILE	F016		Rectangular spots near top of neck. Neck is very curved (this may diminish in time). Some spots are hollow.	0	Identified as juvenile in September 2014.	
J023		MALE	JUVENILE			Large spot on right side.	0		2015-03-24
J024		MALE	JUVENILE				0		2014-09-30
J025		MALE	JUVENILE				0		2015-09-01
J026		UNKNOWN	JUVENILE				0		2015-09-01
J027		UNKNOWN	JUVENILE				0		2015-09-01
J028		UNKNOWN	JUVENILE				0	Translocated to Rimoi March 2016. 	2015-09-01
J029		UNKNOWN	JUVENILE				0	Translocated to Rimoi March 2016.	2015-09-01
J030		UNKNOWN	JUVENILE				0		2015-03-24
J031		MALE	JUVENILE				0		
J032		UNKNOWN	JUVENILE				0		2015-11-20
J033		UNKNOWN	JUVENILE				0		2015-12-03
J034		UNKNOWN	JUVENILE				0		2015-03-06
J035		UNKNOWN	JUVENILE				0		2015-03-20
J036		UNKNOWN	JUVENILE				1	Died March 2016 at the boma, was to be traslocated to Rimoi.	2015-07-29
J037		UNKNOWN	JUVENILE				0		2015-12-22
J038		UNKNOWN	JUVENILE				0		2015-12-22
J039		UNKNOWN	JUVENILE				0		2015-12-22
J040		UNKNOWN	JUVENILE				0		2015-12-22
J041		UNKNOWN	JUVENILE				0		2016-09-02
J042		UNKNOWN	JUVENILE				0		2017-07-25
J043		UNKNOWN	JUVENILE				0		2017-07-25
J044		UNKNOWN	JUVENILE				0		2016-02-19
J045		UNKNOWN	JUVENILE				0		2016-03-04
J046	Justin	UNKNOWN	JUVENILE				0		2016-03-11
J047	Liam	UNKNOWN	JUVENILE				0		2016-03-11
J048	Louie	UNKNOWN	JUVENILE				0		2016-03-11
J049	Snow	UNKNOWN	JUVENILE				0		2016-03-11
J050		UNKNOWN	JUVENILE				0		2016-09-02
J051		UNKNOWN	JUVENILE				0		2016-09-06
J052	Dirty	MALE	JUVENILE				0		2016-10-11
J053		UNKNOWN	JUVENILE				0		2016-12-23
J054		UNKNOWN	JUVENILE				0		2016-12-16
J055		UNKNOWN	JUVENILE				0		2016-12-23
J056		UNKNOWN	JUVENILE				0		2016-12-16
J057		UNKNOWN	JUVENILE	F015			0		2016-01-24
J058		UNKNOWN	JUVENILE				0		2016-01-24
J059		UNKNOWN	JUVENILE				0		2017-04-25
J060		UNKNOWN	JUVENILE				0		2017-07-25
J061		UNKNOWN	JUVENILE				0		2017-07-25
J062		UNKNOWN	JUVENILE	F027			0	Born 4th July 2017.	2017-08-04
J063	Cecilia	UNKNOWN	JUVENILE	F029			0		2017-12-08
J064		FEMALE	JUVENILE	F036			0		2018-01-22
J065		UNKNOWN	JUVENILE	F013			0		2018-11-01
J066	Marco	MALE	JUVENILE				0		2018-01-03
J068	Stephan	MALE	JUVENILE				0		2018-07-05
J069	Riccardo	MALE	JUVENILE				0		2018-07-05
J070		UNKNOWN	JUVENILE				0		2018-07-05
J071		UNKNOWN	JUVENILE				0		2018-07-05
